WARNING (------): DXF version not recognised or not release 12-15.
ASCII DXF release 15 is recommended
XRECORD: name="ACDB_RECOMPOSE_DATA", handle="228", group="280", value="     1"
WARNING (138316): XRECORD object group 90 unknown/not supported - ignored.
WARNING (138320): XRECORD object group 90 unknown/not supported - ignored.
WARNING (138328): XRECORD object group 280 unknown/not supported - ignored.
WARNING (138336): XRECORD object group 90 unknown/not supported - ignored.
WARNING (138344): XRECORD object group 90 unknown/not supported - ignored.
WARNING (138352): XRECORD object group 90 unknown/not supported - ignored.
WARNING (138360): XRECORD object group 280 unknown/not supported - ignored.
WARNING (138368): XRECORD object group 90 unknown/not supported - ignored.
WARNING (138376): XRECORD object group 90 unknown/not supported - ignored.
WARNING (138380): XRECORD object group 90 unknown/not supported - ignored.
WARNING (138388): XRECORD object group 140 unknown/not supported - ignored.
WARNING (138396): XRECORD object group 90 unknown/not supported - ignored.
WARNING (138404): XRECORD object group 1 unknown/not supported - ignored.
WARNING (138412): XRECORD object group 280 unknown/not supported - ignored.
WARNING (138420): XRECORD object group 140 unknown/not supported - ignored.
WARNING (138428): XRECORD object group 140 unknown/not supported - ignored.
WARNING (139184): XRECORD object group 280 unknown/not supported - ignored.
WARNING (139192): XRECORD object group 280 unknown/not supported - ignored.
WARNING (139200): XRECORD object group 280 unknown/not supported - ignored.
WARNING (139208): XRECORD object group 280 unknown/not supported - ignored.
WARNING (139216): XRECORD object group 280 unknown/not supported - ignored.
WARNING (139224): XRECORD object group 280 unknown/not supported - ignored.
WARNING (139232): XRECORD object group 280 unknown/not supported - ignored.
WARNING (139240): XRECORD object group 280 unknown/not supported - ignored.
WARNING (139248): XRECORD object group 280 unknown/not supported - ignored.
WARNING (139256): XRECORD object group 90 unknown/not supported - ignored.
WARNING (139264): XRECORD object group 140 unknown/not supported - ignored.
WARNING (139272): XRECORD object group 140 unknown/not supported - ignored.
WARNING (139280): XRECORD object group 90 unknown/not supported - ignored.
WARNING (139288): XRECORD object group 90 unknown/not supported - ignored.
WARNING (139292): XRECORD object group 90 unknown/not supported - ignored.
WARNING (139300): XRECORD object group 90 unknown/not supported - ignored.
WARNING (139308): XRECORD object group 90 unknown/not supported - ignored.
WARNING (139316): XRECORD object group 90 unknown/not supported - ignored.
WARNING (139320): XRECORD object group 90 unknown/not supported - ignored.
WARNING (139328): XRECORD object group 280 unknown/not supported - ignored.
WARNING (139336): XRECORD object group 90 unknown/not supported - ignored.
WARNING (139344): XRECORD object group 90 unknown/not supported - ignored.
WARNING (139352): XRECORD object group 90 unknown/not supported - ignored.
WARNING (139360): XRECORD object group 280 unknown/not supported - ignored.
WARNING (139368): XRECORD object group 90 unknown/not supported - ignored.
WARNING (139376): XRECORD object group 90 unknown/not supported - ignored.
WARNING (139380): XRECORD object group 90 unknown/not supported - ignored.
WARNING (139388): XRECORD object group 140 unknown/not supported - ignored.
WARNING (139396): XRECORD object group 90 unknown/not supported - ignored.
WARNING (139404): XRECORD object group 1 unknown/not supported - ignored.
WARNING (139412): XRECORD object group 280 unknown/not supported - ignored.
WARNING (139420): XRECORD object group 140 unknown/not supported - ignored.
WARNING (139428): XRECORD object group 140 unknown/not supported - ignored.
WARNING (001534): BLOCKS section group 70 unknown/not supported - ignored.
WARNING (001558): LAYER object group 347 unknown/not supported - ignored.
WARNING (001582): LAYER object group 347 unknown/not supported - ignored.
WARNING (001848): BLOCK object group 3 unknown/not supported - ignored.
WARNING (001850): BLOCK object group 1 unknown/not supported - ignored.
